Country;Region;Population (millions);HDI;GDPperCapita;Cropland Footprint;Grazing Footprint;Forest Footprint;Carbon Footprint;Fish Footprint;Total Ecological Footprint;Cropland;Grazing Land;Forest Land;Fishing Water;Urban Land;Total Biocapacity;Biocapacity Deficit or Reserve;Deficit Quartile group;Deficit or reserve;Quartile GDP;HDI median comparaison
Afghanistan;Middle East/Central Asia;29.82;0.46;614.66;0.3;0.2;0.08;0.18;0;0.79;0.24;0.2;0.02;0;0.04;0.5;-0.3;3rd quartile deficit total;deficit;1st quartile;lowest group
Albania;Northern/Eastern Europe;3.16;0.73;4534.37;0.78;0.22;0.25;0.87;0.02;2.21;0.55;0.21;0.29;0.07;0.06;1.18;-1.03;2nd quartile deficit total;deficit;2nd quartile;highest group
Algeria;Africa;38.48;0.73;5430.57;0.6;0.16;0.17;1.14;0.01;2.12;0.24;0.27;0.03;0.01;0.03;0.59;-1.53;2nd quartile deficit total;deficit;2nd quartile;highest group
Angola;Africa;20.82;0.52;4665.91;0.33;0.15;0.12;0.2;0.09;0.93;0.2;1.42;0.64;0.26;0.04;2.55;1.61;4th quartile deficit total;reserve;2nd quartile;lowest group
Antigua and Barbuda;Latin America;0.09;0.78;13205.1;NA;NA;NA;NA;NA;5.38;NA;NA;NA;NA;NA;0.94;-4.44;1st quartile deficit total;deficit;3rd quartile;highest group
Argentina;Latin America;41.09;0.83;13540;0.78;0.79;0.29;1.08;0.1;3.14;2.64;1.86;0.66;1.67;0.1;6.92;3.78;4th quartile deficit total;reserve;3rd quartile;highest group
Armenia;Middle East/Central Asia;2.97;0.73;3426.39;0.74;0.18;0.34;0.89;0.01;2.23;0.44;0.26;0.1;0.02;0.07;0.89;-1.35;2nd quartile deficit total;deficit;2nd quartile;highest group
Aruba;Latin America;0.10;NA;NA;NA;NA;NA;NA;NA;11.88;NA;NA;NA;NA;NA;0.57;-11.31;1st quartile deficit total;deficit;4th quartile;highest group
Australia;Asia-Pacific;23.05;0.93;66604.2;2.68;0.63;0.89;4.85;0.11;9.31;5.42;5.81;2.01;3.19;0.14;16.57;7.26;4th quartile deficit total;reserve;4th quartile;highest group
Austria;European Union;8.46;0.88;51274.1;0.82;0.27;0.63;4.14;0.06;6.06;0.71;0.16;2.04;0;0.15;3.07;-3;1st quartile deficit total;deficit;4th quartile;highest group
Azerbaijan;Middle East/Central Asia;9.31;0.75;7106.04;0.66;0.22;0.11;1.25;0.01;2.31;0.46;0.2;0.11;0.02;0.06;0.85;-1.46;2nd quartile deficit total;deficit;3rd quartile;highest group
Bahamas;Latin America;0.37;0.78;22647.3;0.97;1.05;0.19;4.46;0.14;6.84;0.05;0;1.18;8.27;0.04;9.55;2.71;4th quartile deficit total;reserve;4th quartile;highest group
Bahrain;Middle East/Central Asia;1.32;0.82;24299;0.52;0.45;0.16;6.19;0.07;7.49;0.01;0;0;0.46;0.1;0.58;-6.91;1st quartile deficit total;deficit;4th quartile;highest group
Bangladesh;Asia-Pacific;154.70;0.56;857.5;0.29;0;0.08;0.26;0.02;0.72;0.25;0;0;0.05;0.07;0.38;-0.35;3rd quartile deficit total;deficit;1st quartile;lowest group
Barbados;Latin America;0.28;0.79;15722.8;0.56;0.24;0.14;3.28;0.22;4.48;0.08;0;0.02;0.04;0.04;0.19;-4.29;1st quartile deficit total;deficit;4th quartile;highest group
Belarus;Northern/Eastern Europe;9.40;0.8;6300.45;1.32;0.12;0.91;2.57;0.08;5.09;1.52;0.3;1.71;0.02;0.09;3.64;-1.45;2nd quartile deficit total;deficit;3rd quartile;highest group
Belgium;European Union;11.06;0.89;48053.3;1.15;0.48;0.99;4.43;0.12;7.44;0.56;0.03;0.28;0.04;0.27;1.19;-6.25;1st quartile deficit total;deficit;4th quartile;highest group
Benin;Africa;10.05;0.48;746.83;0.49;0.04;0.26;0.51;0.08;1.41;0.44;0.04;0.34;0.02;0.04;0.88;-0.53;3rd quartile deficit total;deficit;1st quartile;lowest group
Bermuda;North America;0.06;NA;70626.3;NA;NA;NA;NA;NA;5.77;NA;NA;NA;NA;NA;0.13;-5.64;1st quartile deficit total;deficit;4th quartile;highest group
